userId;userName;mediaId;tags;createdTime;locationName;latitude;longitude
1497354;sandee.u;1497354;[รูปนี้ไว้ขั้นfeed];1433156261;L'Oceanogràfic;39.45279;-0.34812
437011928;bejealginet;437011928;[estaes_valencia, ig_great_pics, loves_water, loves_spain, valenciaenamora, loves_europe, amazingphotohunter, total_city, our_seguidores, loves_village, total_shot, fotoclub_ab, estaes_espania, loves_cityscapes, great_captures_espana, espacio_world, loves_monuments, estaes_europa, espacio_spain, loves_valencia, world_bestangels];1433156223;Plaza De La Virgen Valencia;39.4742393;-0.37672
586400850;nereaperis;586400850;[cerezas, sol, playapatacona];1433156176;Playa de La Patacona;39.489297651;-0.324632109
37438691;jacquesmcpollo;37438691;[valencia, boanicvalencia, may2015, orchid];1433156173;Jardín Botánico;39.4754486;-0.38636
1648522128;kingsleyita;1648522128;[];1433156153;Cicerone;39.472161431;-0.37363727
34850867;josemarmaneu;34850867;[plantacarnívora, plant, jardínbotánico, carnivorousplant, flor, dionaea, igersvalencia, universidaddevalencia, invernadero, valencia];1433156117;Jardín Botánico;39.4754486;-0.38636
284873523;juuliaperera;284873523;[];1433156014;Valencia;39.466666667;-0.383333333
48424306;www_veronicatironi_com;48424306;[];1433159991;Fetish!;39.445879314;-0.386777362
1183794975;david__freedom;1183794975;[valencia, thecityoftheartsandofthescience, spain];1433159881;Ciutat de les Arts i les Ciències - Ciudad de las Artes y las Ciencias;39.474546178;-0.367076646
28247156;emblanchet;28247156;[blue, summer, lamasbonita, colorful, sun, yellow, holidays, architecture, house, valencia, cactus];1433159875;La Más Bonita;39.4853096;-0.32541
605176088;carolinarubia12;605176088;[];1433159857;España - Valencia;39.465162614;-0.347985523
423864470;srta_pico;423864470;[beautiful, cute, fashion, love, summer, instalike, tbt, like4like, igers, follow4follow, instadaily, friends, girl, me, swag, locas, tflers, followme, flasheando, instagood, tagsforlikes, amazing, bestoftheday, fun, smile, photooftheday, picoftheday, happy];1433159748;Patraix;39.4544487;-0.39405
1476452551;axel.malva;1476452551;[];1433159698;Quiero que los buenos polvos sean con tigo no por la nariz.;39.4788243;-0.3298112
1089995173;heather_woodin;1089995173;[valencia, whereintheworldisheatherwoodin, españa];1433159641;Valencia, Spania;39.472607311;-0.37546892
258260696;caroalvaz;258260696;[];1433159586;Mercat Central de València;39.473450776;-0.378652107
1652014018;creationmag;1652014018;[fashionmagazine, fashion, mybluchersmebusca, magazine, design, giveaway, creationvlc, mybluchers, shoes];1433163531;www.creationvlc.es;39.4730094;-0.3984428
292684430;alex.pruneta;292684430;[moviendoelesqueleto, junio, healthylife, gym, vivesano, valencia, sport, newweek, monday, zumba, 💪, 🎵, deporte, gogogo, vidasana, orriols];1433163529;Complejo Deportivo Orriols;39.493606012;-0.366294681
274616878;margarciapink;274616878;[gato, unkiss, asuspendre, hehe, cato, cateto, cat];1433163498;puta bida;39.478510446;-0.359718437
1049082171;gidvalencia;1049082171;[русскийгидвваленсии, русскийгидваленсия, гидпереводчик, морскиепрогулки, русскоиспанский, гидпереводчикповаленсии, гидваленсия, русскийгидповаленсии, vipэкскурсии, gidvalencia];1433163497;Marina Real del Puerto de Valencia;39.476244535;-0.317341538
1719036658;mamenninanino;1719036658;[];1433163497;Algemesi. Valencia;39.4574158;-0.3910524
593432459;joanfenollar;593432459;[];1433163479;Hello Kitty you're so pretty 😻;39.4761217;-0.3815444
340558609;chirivella98;340558609;[];1433163471;El valencià és la meua llengua 👅;39.427269571;-0.38416005
11329420;marianobc;11329420;[];1433163471;Casa Patacona;39.485494321;-0.325280762
1439508928;girlilikoi;1439508928;[stylegallery, instavintage, elpalmar, lookbookindonesia, lookbooksg, aboutalook, stylekick, letsgosomewhere, vintagegirl, boutiquebyjaeger, ootd, letsgetlost, gpoy, chictopia, lookbook, fashiondiaries, welltravelled, lookbooker, fashiontruth, girllilikoispain, vintagestyle, girllilikoispainalbufera, vscofashion, wiwt, girllilikoilookbook, valencia, people_in_bl, fashionblogger, vintageblogger, vintageclothing];1433163410;El Palmar - La Albufera;39.310655251;-0.318011737
472277086;miiriiiam_97;472277086;[];1433163395;SuperClub 95;39.476593445;-0.351794617
480307403;fannybuch;480307403;[];1433163361;Valencia;39.466666667;-0.383333333
