52;726211.784116083406843;4372723.067592361941934;PALACIO DE CERVELLÓ;3;004177;72720;963525478;6;monument
53;725721.3995480989106;4372580.106174713931978;IGLESIA PARROQUIAL DE SAN MARTÍN;2;004131;68610;963522952;6;monument
54;725296.397673266474158;4372298.10952817555517;MUSEO DEL COLEGIO ARTE MAYOR DE LA SEDA;7;004284;36420;963511951;6;museum
59;725938.401533876312897;4372906.103780095465481;IGLESIA PARROQUIAL DE SAN ESTEBAN;5;004197;67590;963918276;5;monument
62;729975.375136847258545;4373761.965947317890823;CASA MUSEO BLASCO IBAÑEZ;159;001561;37350;963525478;11;museum
63;726105.401754629798234;4372968.102840047329664;PALACIO E IGLESIA DEL TEMPLE;2;004155;72480;963918837;6;monument
64;726020.074079767335206;4373325.701667620800436;REAL MONASTERIO DE LA TRINIDAD;13;006112;4980;963605255;3;monument
65;725514.652338833780959;4372961.315235150977969;"PALACIO DE LOS MARQUESES DE MALFERIT,O, DE LOS CONDES DE BRIZUELA";22;004165;12660;0;5;monument
70;726037.52268168667797;4372674.883290329016745;IGLESIA STO TOMAS Y SAN FELIPE NERI;1;004134;69300;963918755;5;monument
71;729398.377730329171754;4371364.982429601252079;ATARAZANAS;;000066;39360;963525478;11;monument
76;725101.487482592114247;4372270.790608448907733;ERMITA DE SANTA LUCÍA;15;002159;36420;963920012;7;monument
0;726164.770670395810157;4372598.1002281839028;CASA NATALICIA DE SAN VICENTE FERRER - EL POUET;1;000047;61320;963528481;7;monument
0;725834.518590627005324;4372918.644042278639972;L'ALMOINA. CENTRO ARQUEOLÓGICO;"S/N";006103;81725;962084173;1;monument
0;725464.403003234532662;4373047.105012208223343;PORTAL DE VALLDIGNA;;004148;0;0;3;monument
0;729504.179012257722206;4372625.934378984384239;IGLESIA PARROQUIAL DE NUESTRA SEÑORA DE LOS ÁNGELES (EL CABAÑAL);2;004140;36780;963711060;6;monument
0;724888.592548483517021;4371657.295134214684367;IGLESIA PARROQUIAL DE NUESTRA SEÑORA DEL SOCORRO;14;004203;46380;963854173;9;monument
0;725733.552838859846815;4373071.103856044821441;PALACIO DE LA REAL MAESTRANZA;1;004181;53130;963921270;5;monument
0;724631.41477877588477;4371945.734817498363554;MERCADO DE ABASTOS;18;004158;1320;0;9;monument
0;724973.391199369332753;4371479.115666817873716;FINCA ROJA;;004185;0;0;9;monument
0;727204.391818459378555;4371025.103920396417379;MUSEO FALLERO;4;004288;5130;963525478;9;museum
0;729591.375989375519566;4371561.96920695155859;MUSEO SEMANA SANTA;3;000076;65670;963525478;8;museum
0;725856.211104810936376;4372828.144463035278022;PALACIO ARZOBISPAL;2;004121;55320;963829700;9;monument
0;725117.405298524070531;4373292.10504228528589;IVAM;118;004285;35100;963863000;10;museum
0;723495.261177495354787;4371630.093002612702549;BIBLIOTECA MUNICIPAL;1;000069;81319;963525478;9;monument
0;726176.003511319402605;4372261.940646314062178;PUERTA DE LOS JUDÍOS;S/N;008738;59100;0;3;monument
0;724816.443549419520423;4372806.829324799589813;JARDIN BOTANICO;80;004114;62010;963156800;6;monument
0;723023.476735962904058;4373042.968767049722373;BIOPARC;3;007677;81423;902250340;12;leisure
0;726603.209538321010768;4373047.9786223070696;PALACETE Y JARDINES DE MONFORTE;S/N;004115;41260;963525478;8;monument
0;722827.185712426900864;4372814.318492622114718;PARQUE DE CABECERA;;005863;0;0;12;leisure
0;727063.395424755755812;4371833.102360369637609;PALAU DE LA MUSICA;;058710;0;0;10;monument
0;729560.375725878984667;4371244.968963094986975;EDIFICIO DEL RELOJ (PUERTO);S/N;006124;51000;963939400;9;monument
0;726125.40337955893483;4373238.101649974472821;MUSEO SAN PIO V;S/N;004111;0;0;6;museum
0;725261.396756500587799;4372175.11033939756453;MUVIM;"8,  y QUEVEDO, 10";004294;35100;963883730;10;museum
0;728479.389872391126119;4372115.05337533634156;JARDIN DE AYORA;;004161;0;0;8;monument
0;725226.397311141714454;4372249.110121621750295;ANTIGUO HOSPITAL GENERAL;11;000042;36420;963510939;4;monument
0;725443.401950308587402;4372896.105842583812773;IGLESIA PARROQUIAL DE SAN NICOLÁS;35;004132;12660;963913317;5;monument
0;725850.397580685093999;4372290.106900403276086;TEATRO PRINCIPAL;15;006113;8580;963539200;7;leisure
0;730200.613925734069198;4371356.769468952901661;PORT AMERICAS CUP;;008742;0;0;11;monument
0;726215.249757610377856;4372653.453662425279617;CENTRO CULTURAL FUNDACIÓN BANCAJA;23;002139;72720;963875864;8;museum
